link,categories,date_published,date_modified,headline,short_description,full_description
www.thedailystar.net/arts-entertainment/news/singer-kamal-ahmeds-roktakto-august-releases-observance-national-mourning-day-1946953,Arts & Entertainment,2020-08-18T13:29:49+06:00,2020-08-18T13:29:49+06:00,Singer Kamal Ahmed’s ‘Roktakto August’ releases in observance of National Mourning Day,"Noted artiste Kamal Ahmed released his solo album, Roktakto August, with the music video of the song, Roktakto August, under the banner of Laser Vision, recenty. The video was released on Laser Vision's YouTube channel on August 15.","Noted artiste Kamal Ahmed released his solo album, Roktakto August, with the music video of the song, Roktakto August, under the banner of Laser Vision, recenty. The video was released on Laser Vision's YouTube channel on August 15.
Roktakto August is written by Fazlul Haq Khan, with Badrul Alam Bokul as the music director. The music video is directed by Tayeb Rahman. The video was shot at Dhanmondi 32 at the residence of Bangabandhu Sheikh Mujibur Rahman.
Poneroi agoster vore govir shoke, is taken from the album, Mohakabyer Kobi, released on March 17, 2020.  There are 12 songs in the album, dedicated to Bangabandhu.
Other songs of this album include Poneroi Agoster dussoho bedonay, Ami Karbala Dekhini, Bedonar Nil Kalite lekha, Pochattor Mane Pathor Capa Shok, Tomar Rokte Vije Gese Prithibir Buk, Bangabandhu Tomake Harie, Tomar Somadhi Dekhe Mone Hoy, Unish Sho Bish Shal Soteroi March, Bangabandhu Sheikh Mujibur Rahman, Ekattorer Ronangon Kapano and Tumi Shadharon Manusher Rokte Lekha. The lyrics and music were done by Fazlul Haq Khan, Badrul Alam Bakul and Md Shah Newaz.
Previously, Kamal Ahmed published 17 albums including Ekusher Shwaralipi, commemorating International Mother Language Day and Mohakabyer Kobi, a tribute to the Father of the Nation Bangabandhu Sheikh Mujibur Rahman, among others.
Kamal Ahmed has received  various national and international awards, including the SAARC Cultural Society Award, Bangabandhu Gobeshona Foundation Award, Adwaitia Mallabarman Award from Maharaja Birbikram University, India, Beer Shaheed Dhirendranath Dutta Award from Agartala, Tripura, India, FOBANA Award from Canada, Rajshahi Betar Shilpi Songstha Award and Jatiyo Rabindra Gobeshona and Chorcha Kendra Honorary Award."
www.thedailystar.net/arts-entertainment/news/many-happy-returns-the-day-the-evergreen-farooque-1946965,Arts & Entertainment,2020-08-18T14:00:53+06:00,2020-08-18T14:00:53+06:00,Many happy returns of the day to the evergreen Farooque!,"National Award winning actor Akbar Hossain Pathan, known by his stage name Farooque, has now dedicated himself to politics, since he is now a Member of Parliament for Dhaka -17.","National Award winning actor Akbar Hossain Pathan, known by his stage name Farooque, has now dedicated himself to politics, since he is now a Member of Parliament for Dhaka -17.
The actor has worked in more than 150 films in his career, and is considered as one of the most dominant actors of his time. Most of his works were critically acclaimed and commercially successful.
Farooque was involved in student politics, and participated in the six-point movement in 1966. He was inspired by the Father of the Nation, Bangabandhu Sheikh Mujibur Rahman, and participated in the Liberation War of Bangladesh as well.
Born and brought up in old Dhaka, Farooque's hometown is in Gazipur, Kaliganj. In his youth, he used to attend stage shows that took place in his area, along with his friends.. ""Coincidently, I didn't realise when did I fell in love with acting!"" shares Farooque.
His journey in films began with Jolchhobi  in 1971. Khan Ataur Rahman's Abar Tora Manush Ho (1973) took him to superstardom. Later, he was featured in iconic movies like Lathial (1975), Sujon Sokhi (1975), Amzad Hossain's Golapi Ekhon Train e (1978), Abdullah Al Mamun's Sareng Bou (1978), and Chashi Nazrul Islam's Mia Bhai (1987), among others.
Farooque never celebrates his birthday, as it is on the same month as the national mourning day. ""After 1975, I never felt like celebrating this day,"" he affirms. ""Life is like a river, it keeps flowing as long as it has life. What matters most is what we do for our society."" Although he is away from the silverscreens for many years now, he is fulfilling his duty towards the people. He wishes to serve the country as long as he can."
www.thedailystar.net/arts-entertainment/news/gallery-cosmoss-virtual-exhibition-bangabandhu-underway-1946957,Arts & Entertainment,2020-08-18T13:37:05+06:00,2020-08-18T13:37:05+06:00,Gallery Cosmos’s virtual exhibition on Bangabandhu underway ,"Marking National Mourning Day and the birth centenary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman, the first-ever virtual art, photography and multimedia exhibition on Bangabandhu, titled Brave Heart, began on Friday.","Marking National Mourning Day and the birth centenary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman, the first-ever virtual art, photography and multimedia exhibition on Bangabandhu, titled Brave Heart, began on Friday.
Arranged by Gallery Cosmos, a total of 50 artworks of 42 renowned Bangladeshi artists,  along with multimedia works and photographs are being showcased in this special exhibition in the virtual gallery at www.gallerycosmos.org.bd.
Cosmos Foundation, the philanthropic arm of Bangladeshi conglomerate Cosmos Group, is supporting the multidimensional exhibition that is also featuring videos, photos and books.
Chaired by Enayetullah Khan, Chairman of Cosmos Foundation, the online inauguration event of the exhibition was joined by Mofidul Hoque, founder trustee of Bangladesh Liberation War Museum and Prof Haider A Khan, distinguished professor of Economics at the Joseph Korbel School of International Studies, University of Denver, USA as the chief guests.
Participating artists in the exhibition are - AH Dhali Tomal, Abdul Guffar Babu, Abdullah Al Bashir, Afrozaa Jamil Konka, Ahmed Shamsuddoha, Alakesh Ghosh, Aloptogin Tushar, Amirul Momanin Chowdhury, Amit Nandi, Anisuzzaman Anis, Anukul Chandra Mojumder, Azmeer Hossain, Azmol Hossain, Biren Shome, Bishwajit Goswami, Dheeman Kumar Biswas, Dilip Kumar Karmakar, Farhad Hossain, Hamiduzzaman Khan, Iqbal Bahar Chy, Jamal Ahamed, Jayanta Mondal, Jayanta Sarkar John, Kamruzzoha, Kuhu Plamondon, Maneek Bonik, Md Azmal Uddin, Md. Jashim Uddin, Najib Tareque, Nasim Ahmed Nadvi, Nasir Ali Mamun, Nazia Andaleeb Preema, Nisar Hossain, Proshanta Karmakar, Ratneshwar Shutradhar, Ruhul Karim Rumee, Shahabuddin Ahmed, Shahjahan Ahmed Bikash, Sheikh Afzal Hossain, Sohel Pranon, Sourav Chowdhury and Tajul Islam.
The exhibition will continue till August 31."
www.thedailystar.net/backpage/news/lucky-phone-number-sells-300000-1946717,Back Page,2020-08-18T00:00:00+06:00,2020-08-18T00:00:00+06:00,"‘Lucky’ phone number sells for $300,000"," A “lucky” mobile phone number has sold for a whopping 2.25 million yuan ($300,000) after hundreds of people vied online for the right to use the apparently auspicious string of digits.","A ""lucky"" mobile phone number has sold for a whopping 2.25 million yuan ($300,000) after hundreds of people vied online for the right to use the apparently auspicious string of digits.
The number ends in five eights, a sought-after combination in China as the word ""eight"" in Mandarin sounds similar to the word for ""prosperity"".
The number was among assets seized and ordered auctioned by a court in Beijing, and an online sale attracted more than five thousand bids between Saturday and Sunday.
Phone users in China -- especially companies seeking to impress clients and business partners -- often pay a premium for combinations of digits considered lucky.
Eight is the most sought after digit, and so prized in China that the opening ceremony of the 2008 Olympics in Beijing started officially at eight minutes past eight on the eighth day of August, the eighth month.
The number four, which in Mandarin sounds similar to ""death"", is least favoured.
The winner of Sunday's auction paid 400 yuan to join the action and has ten days to come up with the remaining sum.
A phone number ending in eight sevens holds the record on the auction platform for fetching 3.91 million yuan at a 2017 auction.
Seven sounds like ""arise"" or ""life essence"" and is considered a good number for relationships."
www.thedailystar.net/backpage/news/dwarf-planet-ceres-ocean-world-1944593,Back Page,2020-08-14T00:00:00+06:00,2020-08-14T00:00:00+06:00,Dwarf planet Ceres an ocean world,"The dwarf planet Ceres -- long believed to be a barren space rock -- is an ocean world with reservoirs of sea water beneath its surface, according to new research.

","The dwarf planet Ceres -- long believed to be a barren space rock -- is an ocean world with reservoirs of sea water beneath its surface, according to new research.
Ceres is the largest object in the asteroid belt between Mars and Jupiter and has its own gravity, enabling the Nasa Dawn spacecraft to capture high-resolution images of its surface.
Now a team of scientists from the United States and Europe have analysed images relayed from the orbiter, captured around 35 kilometres (22 miles) from the asteroid.
They focused on the 20-million-year-old Occator crater and determined that there is an ""extensive reservoir"" of brine beneath its surface.
Several studies published Monday in the journals Nature Astronomy, Nature Geoscience and Nature Communications also shed further light on the dwarf planet, which was discovered by Italian polymath Giuseppe Piazzi in 1801.
Using infrared imaging, one team discovered the presence of the compound hydrohalite -- a material common in sea ice but which until now had never been observed from Earth.
Maria Cristina De Sanctis, from Rome's Istituto Nazionale di Astrofisica said hydrohalite was a clear sign Ceres' used to have sea water.
""We can now say that Ceres is a sort of ocean world, as are some of Saturn's and Jupiter's moons,"" she told AFP.
The team said the salt deposits looked like they had built up within the last two million years -- the blink of an eye in space time.
This suggests that the brine may still be ascending from the planet's interior, something De Sanctis said could have profound implications in future studies.
""The material found on Ceres is extremely important in terms of astrobiology,"" she said.
""We know that these minerals are all essential for the emergence of life.""
Writing in an accompanying comment article, Julie Castillo-Rogez, from the California Institute of Technology's Jet Propulsion Laboratory, said the discovery of hydrohalite was a ""smoking gun"" for ongoing water activity.
""That material is unstable on Ceres' surface, and hence must have been emplaced very recently,"" she said.
In a separate paper, US-based researchers analysed images of the Occator crater and found that its mounds and hills may have formed when water ejected by the impact of a meteor froze on the surface.
The authors said their findings showed that such water freezing processes ""extend beyond Earth and Mars, and have been active on Ceres in the geologically recent past""."
www.thedailystar.net/business/news/only-high-priority-projects-fiscal-year-1946841,Business,2020-08-18T00:00:00+06:00,2020-08-18T00:00:00+06:00,Only high-priority projects this fiscal year,"The government has directed ministries and divisions to pick high-priority projects from the list of the unapproved schemes in the annual development programme as development work has been hamstrung by revenue shortage caused by the coronavirus pandemic. 

","The government has directed ministries and divisions to pick high-priority projects from the list of the unapproved schemes in the annual development programme as development work has been hamstrung by revenue shortage caused by the coronavirus pandemic. 
The country would require Tk 924,203 crore to implement all of the 1,626 ongoing development projects. The government has, however, allocated Tk 204,144 crore for ADP this fiscal year.
""At the current pace of allocation, it would take more than five years to implement the projects,"" said the planning ministry in a report.
The government has allocated Tk 495,097 crore as of June for the ongoing development projects included in the ADP.
There is a huge difference between the need for financing and the fiscal space, the report said.
The report was presented at a meeting of the secretaries on 10 August.
Planning Minister MA Mannan convened the meeting to prepare a roadmap to ensure full implementation of the ADP this fiscal year after development expenditure fell to a 27-year low last fiscal year.
The ministry said a limited number of projects should be undertaken for the sake of planning and fiscal discipline while adopting a project.
There are 1,347 projects in the current ADP that have not secured any allocation yet.
Most of the times, projects are undertaken without a proper feasibility study and technical design, ignoring instructions from the Executive Committee of the National Economic Council (Ecnec) to do so. As a result, the schemes go through revisions for a number of times during the implementation period.
Sometimes, projects are taken up because of the pressure from influential groups or politicians and only a small amount is allocated for them every year, said an official of the planning ministry.
""It would not be appropriate to prepare a project for approval if it is undertaken without a feasibility study and technical design,"" the report said.
A feasibility study may be carried out before a ministry or division initiates an investment project. The ministry or division may approve a feasibility study involving up to Tk 5 crore.
Sometimes, the project is scaled down and then it gets approval.  Later, initiatives have to be taken to revise it when its scope expands during the execution phase.
As a result, ongoing projects are not complete as per the schedule and the progress of the work is interrupted, depriving the people of benefiting from them.
If the cost of projects goes up, it would be logical to implement the approved projects within the deadlines before undertaking any new ones, the report said.
The planning ministry has written to all ministries and divisions, instructing them to take steps to classify the projects as high, medium and low priority.
The ministries and divisions may only assess the high priority projects by taking into consideration the required assets or liabilities of the ongoing projects and the projection on the mid-term budgetary framework.
The ADP has targeted to finish off 381 projects in the fiscal 2020-21.
An inter-ministerial meeting can be called in November or December to ensure adequate or increased financing to complete the projects, the planning ministry report said. 
Some 317 projects were up for completion in the last fiscal year. Of them, 137 projects could not be finished because of the coronavirus pandemic.
As per a decision of the NEC, the deadline of the unfinished projects has been expanded by a year under special consideration and they have been included in the ADP for the current fiscal year and were allocated funds.
The planning ministry has directed the ministry and divisions to take measures to ensure adequate funds for the projects.
According to the planning ministry, foreign aid use is important for the overall progress of the ADP.
But foreign aid allocation has gone down in the revised ADPs in the last few years as ministries and divisions could not use them properly.
The government allocated Tk 73,078 crore from foreign aid in favour of 376 projects this fiscal year. 
The planning ministry advised the ministries and divisions to beef up the monitoring to execute aid-backed projects in fiscal 2019-20.
If the secretaries or senior officials of ministries or divisions pay regular field visit, it would play an important role in ensuring proper implementation and quality of projects, the report said, adding that the heads of implementing agencies and project directors should intensify regular inspection and monitoring.
The recommendations made by the Implementation Monitoring and Evaluation Division in its report should be followed properly, the report said.
Development activities came to a screeching halt after the government was forced to implement a countrywide shutdown from 26 March to rein in the rising COVID-19 caseload in Bangladesh.
The ministries and divisions managed to spend Tk 161,857 crore in fiscal 2019-20, which was 80.5 per cent of the total allocation for the year.
The development budget for this fiscal year is Tk 205,145 crore, which is 6.3 per cent higher than last year's.
The government's fiscal space has squeezed as the coronavirus-induced countrywide shutdown has paralysed the economy. Revenue collection in the just-concluded fiscal year dropped 2.3 per cent."
www.thedailystar.net/business/news/banks-dive-treasury-bills-bonds-interest-income-falls-1946837,Business,2020-08-18T00:00:00+06:00,2020-08-18T00:00:00+06:00,"Banks dive into Treasury bills, bonds as interest income falls","Listed banks increased their investment in government and corporate bonds, securities and stocks in the second quarter of 2020 to offset the loss in interest income caused by the ceiling on lending rates.

","Listed banks increased their investment in government and corporate bonds, securities and stocks in the second quarter of 2020 to offset the loss in interest income caused by the ceiling on lending rates.
Their investment in bonds and other securities rose 8.84 per cent to Tk 314,747 crore as on 30 June. Investment income surged Tk 842 core, or 49 per cent, to Tk 2,546 crore in the quarter.
The data was calculated based on the half-yearly financial statements of 25 out of 30 banks listed on the Dhaka Stock Exchange. The reports of Al-Arafah, Brac, ICB Islamic, Standard and United Commercial Bank are not available on their websites.
""As the interest rate of Treasury bills and bonds was high and banks did not need to keep provisions against the investment, it was better to invest into these instruments,"" said Syed Mahbubur Rahman, managing director of Mutual Trust Bank.
The government capped the lending rate at 9 per cent and the deposit rate at 6 per cent on 1 April. As banks have had to comply, the net interest income of the lenders plunged 39 per cent to Tk 3,095 crore in the second quarter.
The spread, the difference between the lending rate and the deposit rate, fell to 2.5 per cent to 2.75 per cent in the April-June quarter due to the single-digit lending rate.
""So, the interest income was expected to receive a major blow,"" Rahman said.
Although the lending rate went down to 9 per cent, many of the banks could not bring down the deposit rate to 6 per cent. One bank is still offering deposits at 7.5 per cent, according to Rahman.
As Bangladesh's trade with the rest of the world plummeted during the quarter because of the coronavirus pandemic, banks' earnings from commissions and charges also fell.
The commission and charge income dropped 24 per cent year-on-year to Tk 1,110 crore. The profits declined 35 per cent to Tk 1,263.97 crore in the second quarter due to the lower interest income and commission on their services.
Bangladesh's export earnings plunged 16.93 per cent to $33.67 billion in the just-concluded fiscal year, the lowest in five years, as the pandemic brought global trade to its knees.
""Some banks will try to increase their investment in Treasury bills and bonds to make profits but they will have to expand their loan books because the interest rate on government bills and bonds has already been cut,"" Rahman said.
The interest rate on Treasury bills and bonds came down to 8.1 per cent from 9 per cent.
The current half of the year would be more challenging as the two quarters will suffer from the problem of the lower interest income, Rahman said, adding that banks saw a higher interest income in the first quarter.
""Moreover, the country has been affected by floods and we still don't know when the pandemic will pass.""
The banking sector's future will also hinge on the orders the garment sector would receive in the spring.
A top official of another bank, which has increased investment in bonds and securities significantly, said as the outbreak of coronavirus was getting out of control during the second quarter, there were no other options but to raise investment in bonds, securities and some other safe instruments.
""Most of the banks did this.""
Of the 25, 19 banks bought more bonds and securities, but this did not spare them from losses.
""We failed to halt the profit fall during the period. Profits of a bank can't be ensured from these investments alone,"" the banker said.
The stock market was not the beneficiary during the period either.
DSEX, the benchmark index of the Dhaka Stock Exchange, dropped 0.47 per cent to 3,989 on 30 June compared with 25 March.
""The stock market was riskier, so we were not interested in investing in the speculative market. But now we are putting some money into the market,"" the banker said."
www.thedailystar.net/city/news/two-neo-jmb-members-arrested-dhaka-1946961,City,2020-08-18T13:49:53+06:00,2020-08-18T13:49:53+06:00,Two Neo JMB members arrested in Dhaka,"Two active members of a Neo JMB “sleeper cell” have been arrested during a raid in the capital’s Sadarghat area, said a press release.","Two active members of a Neo JMB ""sleeper cell"" have been arrested during a raid in the capital's Sadarghat area, said a press release.
The arrestees are: Saffat Islam alias Abdullah alias William alias Al Arsalan alias Mehemed Chagri Beg (18) and Yasir Arafat alias Shanto (20).
Members of a Counter Terrorism and Transnational Crime (CTTC) unit under Dhaka Metropolitan Police conducted a drive at Sadarghat and arrested Saffat and Arafat around 6:55pm yesterday, the release read.
The law enforcers also seized two mobile phones, a knife, and some hand-written documents containing instructions regarding their action plans.
Both Saffat and Arafat are members of Neo JMB's military unit, and they along with seven or eight other members formed a sleeper cell called FZ Force, the release said.
On July 4, Saffat from his Dhaka's Elephant Road residence and Arafat from Keraniganj residence, attempted to recruit new members in the hopes of giving military training to them, according to the statement.
They planned on killing influential politicians and atheists, and tried to collect weapons and bombs as per their plans.
Besides, they communicated with other members through social media platforms and encrypted apps, the release said.
A case was filed against them with Kotwali Police Station."
www.thedailystar.net/coronavirus-deadly-new-threat/news/covid-19-32-die-2024-infected-1315-recover-24-hours-1945889,Coronavirus: A deadly threat,2020-08-16T17:04:04+06:00,2020-08-16T17:04:04+06:00,"Covid-19: 32 die, 2,024 infected, 1,315 recover in 24 hours","Thirty-two people have died from Covid-19 in the country over the last 24 hours, according to a press release issued by the Directorate General of Health Services (DGHS).

","Thirty-two people have died from Covid-19 in the country over the last 24 hours, according to a press release issued by the Directorate General of Health Services (DGHS).
The total number of deaths has now reached 3,657 and the death rate stands at 1.32 percent.
In the last 24 hours, 2,024 people have tested positive for Covid-19, as per the DGHS press release.
With the fresh cases, the total number of positive cases so far in the country stands at 2,76,549 and the current infection rate is 20.20 percent.
Bangladesh is currently 16th in the list of worst affected countries in the world in terms of the number of cases.
The position is one step behind Argentina and one step ahead of Italy, according to worldometer.info.
A total of 9,636 samples were tested in 86 labs across the country in the last 24 hours.
Meanwhile, 1,315 Covid-19 patients have recovered in the last 24 hours.
The total number of recoveries stands at 1,58,950 and the recovery rate at 57.48 percent.
In the last 24 hours, 579 people were put under isolation, the release added.
Among the deceased, 25 were male and seven were female."
www.thedailystar.net/coronavirus-deadly-new-threat/news/covid-19-34-die-2766-infected-1752-recover-24-hours-1944937,Coronavirus: A deadly threat,2020-08-14T15:44:53+06:00,2020-08-14T15:44:53+06:00,"Covid-19: 34 die, 2,766 infected, 1,752 recover in 24 hours","Thirty-four people have died from Covid-19 in the country during the last 24 hours, reads to a press release issued by the Directorate General of Health Services (DGHS).","Thirty-four people have died from Covid-19 in the country during the last 24 hours, according to a press release issued by the Directorate General of Health Services (DGHS).
The total number of deaths has now reached 3,591 and the overall death rate stands at 1.32 percent.
Two thousand seven hundred and sixty-six people have tested positive for Covid-19 in the last 24 hours, added the press release.  
With the fresh cases, the total number of positive cases so far in the country stands at 2,71,881 and the current infection rate is 21.52 percent.
The total infection rate stands at 20.46 percent, according to the release.
A total of 12,856 samples were tested in 86 labs across the country in the last 24 hours.
Meanwhile, 1,752 Covid-19 patients have recovered in the last 24 hours.
The total number of recoveries stands at 1,56,623 and the recovery rate at 57.61 percent.
Seven hundred and thirty-nine people were put under isolation in the last 24 hours, the release added.
Among the deceased, 28 were male and six were female, while two were within 31-40 years old, four between 41-50, six within 51-60 and 22 were above 60 years old."
